codigo;lote;descripcion;almacen;stock_actual;fecha_inicio
550050102;BLA-TRI-528PBL22;SHELL HELIX HX8 PROFESSIONAL AG 5W-30 6x1L;000001;1544;2022-11-23
40926905;BLA-TRI-516PBL22;SHELL HELIX HX8 PRO AG 0W-20 EXPO 12x1L;000001;1760;2022-11-10
45312905;BLA-TRI-505PBL22;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;000001;1760;2022-11-03
45312905;BLA-TRI-504PBL22;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;000001;1760;2022-11-03
45312905;BLA-TRI-503PBL22;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;000001;1760;2022-11-03
45312905;BLA-TRI-502PBL22;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;000001;1760;2022-11-03
550050706;BLA-TRI-492PBL22;SHELL GADUS S2 V220AC 2 1x18KG;000001;293;2022-11-24
45372905;BLA-TRI-491PBL22;SHELL SPIRAX S2 A 85W-140 12x1L EXPO;000001;3;2022-11-16
45387905;BLA-TRI-491PBL22;SHELL SPIRAX S2 A 80W-90 12x1L EXPO;000001;161;2022-11-16
550045853;BLA-TRI-464PBL22;SHELL HELIX HX5 20W-50 SN 3x4L;000001;1680;2022-11-09
550045853;BLA-TRI-464PBL22;SHELL HELIX HX5 20W-50 SN 3x4L;000001;1680;2022-11-09
550049771;BLA-TRI-464PBL22;SHELL NAUTILUS PREMIUM OUTB 2T 6x1L;000001;1563;2022-11-09
550026699;BLA-TRI-463PBL22;SHELL HYDRAULIC S1 M 68 1x55GAL;000001;96;2022-11-10
550026699;BLA-TRI-463PBL22;SHELL HYDRAULIC S1 M 68 1x55GAL;000001;24;2022-11-10
550026699;BLA-TRI-463PBL22;SHELL HYDRAULIC S1 M 68 1x55GAL;000001;96;2022-11-10
6560500055;BLA-TRI-463PBL22;SHELL TURBO T OIL 68 1x55GAL;000001;48;2022-11-10
550026834;BLA-CUA-106PBL22;SHELL REFRIGERATION OIL S2 FR-A 68 1x55GAL;000001;32;2022-03-18
