codigo;descripcion;almacen;lote;stock;fecha
QC-5110;TOYOTA HILUX (INYECCIÓN);000004;441PBL22;50;2022-10-04
QC-511A;VOLKSWAGEN, GOL / GOLF/ CROSSFOX / FOX/ SPACE FOX / POLO/ BORA;000001;441PBL22;550;2022-10-04
QC-511A;VOLKSWAGEN, GOL / GOLF/ CROSSFOX / FOX/ SPACE FOX / POLO/ BORA;000004;441PBL22;48;2022-10-04
QC-5961;RENAULT MEGANE, SCENIC, TWINGO, LOGAN, KANGOO, SYMBOL;000001;441PBL22;94;2022-10-04
QC-5961;RENAULT MEGANE, SCENIC, TWINGO, LOGAN, KANGOO, SYMBOL;000004;441PBL22;50;2022-10-04
QC-618;CHEVROLET CORSA / LUV D-MAX/ MONTANA/ MERIVA;000001;441PBL22;14900;2022-10-04
QC-619;CHEVROLET OPTRA / AVEO / CAPTIVA (TESTIGO);000001;441PBL22;10544;2022-10-04
QC-619;CHEVROLET OPTRA / AVEO / CAPTIVA (TESTIGO);000004;441PBL22;50;2022-10-04
QC-645A;CHEVROLET BLAZER (ROSCA PICO);000004;441PBL22;50;2022-10-04
QC-6680;HYUNDAI SONATA . TOYOTA 4 RUNNER / MERÚ / PRADO;000001;441PBL22;200;2022-10-04
QC-6680;HYUNDAI SONATA . TOYOTA 4 RUNNER / MERÚ / PRADO;000004;441PBL22;200;2022-10-04
QC-7110;CHERY ORINOCO / ARAUCA / X1 / TIGGER / TIUNA;000001;441PBL22;1900;2022-10-04
QC-7110;CHERY ORINOCO / ARAUCA / X1 / TIGGER / TIUNA;000004;441PBL22;47;2022-10-04
QC-7194;MITSUBISHI ECLIPSE / LANCER / MF / MONTERO / MX . TOYOTA CAMRY / CELICA / PASEO;000004;441PBL22;50;2022-10-04
QC-7612;TOYOTA COROLLA 1.8/1.6 (1994-2008);000001;441PBL22;1300;2022-10-04
QC-7612;TOYOTA COROLLA 1.8/1.6 (1994-2008);000004;441PBL22;50;2022-10-04
QC-986;FORD EXPLORER / FORTALEZA / RANGER;000001;441PBL22;4192;2022-10-04
QC-986;FORD EXPLORER / FORTALEZA / RANGER;000004;441PBL22;48;2022-10-04
QC-991;FORD EXPLORER 1999-2002 / SPORT TRAC;000001;441PBL22;400;2022-10-04
QC-991;FORD EXPLORER 1999-2002 / SPORT TRAC;000004;441PBL22;48;2022-10-04
6560300055;SHELL TURBO OIL T 46 1x55GAL;000004;421PBL22;2;2022-10-15
QA-1010;TOYOTA TERIOS BE-GO;000004;407PBL22;24;2022-09-19
QA-10190;TOYOTA COROLLA XEI / GLI 2008-2012;000004;407PBL22;23;2022-09-19
QA-10242;FORD EXPLORER 2011-2013;000001;407PBL22;234;2022-09-19
QA-10242;FORD EXPLORER 2011-2013;000004;407PBL22;24;2022-09-19
QA-10262;FORD EXPEDITION 2009/ F-150 / F-250 / F-350 2007-2012;000004;407PBL22;24;2022-09-19
QA-10755;JEEP GRAND CHEROKEE 2011-2014, MITSUBISHI L200 DIESEL;000004;407PBL22;24;2022-09-19
QA-10835;TOYOTA 4RUNNER 2014-2018;000004;407PBL22;18;2022-09-19
QA-1211;CHERY ARAUCA A1 4L 1.3L;000004;407PBL22;21;2022-09-19
QA-2222;FORD ECOSPORT 1.6L /FIESTA POWER 1.6L, MOVE, MAX;000004;407PBL22;24;2022-09-19
QA-8000;HYUNDAI TUCSON (2005-2009) / KIA SPORTAGE (2005-2009);000004;407PBL22;24;2022-09-19
QA-8208;MITSUBISHI LANCER TOURING 2003-2015/ MIRAGE;000004;407PBL22;24;2022-09-19
QA-91485;CHEVROLET SPARK;000001;407PBL22;312;2022-09-19
QA-91485;CHEVROLET SPARK;000004;407PBL22;24;2022-09-19
QA-9430;CHEVROLET LUV-DMAX (GASOLINA);000004;407PBL22;2;2022-09-19
QA-9683;TOYOTA 4RUNNER 2008/ FORTUNER / HILUX KAVAK / FJ CRUISER;000004;407PBL22;2;2022-09-19
QA-9687;FORD EXPEDITION EDDIE PICK-UP F-SERIES SUPER DUTY (TODOS);000001;407PBL22;288;2022-09-19
QA-9687;FORD EXPEDITION EDDIE PICK-UP F-SERIES SUPER DUTY (TODOS);000004;407PBL22;24;2022-09-19
QA-9902;CHEVROLET AVEO (TODOS);000001;407PBL22;18;2022-09-19
